content,sentiment
"Saya suka game ini,tapi sayang banyak sekali cheater nya",2
PING nya selalu ga stabil Tiba2 bisa sampe 600 Lah padahal jaringan nya lagi bagus2nya FPS naek turun gimana mo maen Yang ada mati konyol terus 😒,0
"Mantap Game terbaik.. Up date nyaaa seharian Penuh... 😆😆😆😆 mantap Booos.... Sory Bang, untuk permainan pubg ini, lama kelamaan Pasti tinggal Satu orang saja yg ingin bermain.. Soalnya Tiap kali setelah di update,Hp Nambah BEBAN, PANAS, BANYAK bugnya, kalau Main lagi Setiap pemain setelah Mati, pasti sering Gagal Main, karena cacatnya Layar, dan Banyak kesalahan"" yg seharusnya di perbaiki,tetapi para tencent selalu menjawab, bahwa akan memperbaiki kesalahan yang ada, tp nyatanya,percuma..",1
Dowload nya lama,0
Gem burikan,1
Berat bgt sekarang ini game setelah update,1
Sehabis update suara step jadi kurang jelass,0
Update mulu bikin kesel..,1
Semoga di update yang sekarang lebih baik lagi.,2
凸( •̀_•́ )凸,0
"TOLONG DI PERBANYAK BOTNY, BUAT PLAYER PEMULA🙏🏻",2
Nice,1
Tolong untuk jaringannya diperbaiki lagi saya setiap login pasti berputar terus padahal ini jaringannya 4g terus,0
Ad sebuah bug yg sangat mengecewakan dimana kalau kita mati terus menonton tim macth kita bertempur dia stuck/ngefeeze,1
Saya sudah mendownload tedak bisa login login keluar terus,0
"Saya bingung kenapa setiap kill banyak itu pasti dapat surat cinta dari tencent. Padahal saya main murni pak, salah saya dimana? Saya mengeluh karena aturan game ini semakin ketat, yang main murni di cegat karena alasan banyak kill atau gameplay nya brutal. Ya itu wajar aja karena itu emang dari player nya yang jago main. Bukan karena cheat dll melainkan itu emang dari player nya yang jago main, apalagi kalau solo squad jangan harap bisa menikmati gameplay! Fiks saya pensi main pubg!! Bye²",2
Saya sangat menyesal karena sudah membeli skin lesley,2
Nerf irithel astaga susah banget lawan irithel di gold Lane Beatrix suka kalah,2
xxx,1
"Game rusak Kenapa di mode team deat max selalu tidak imbang lawan nya. saya aja masih level 20 lawan nya level 80 kan itu orang"" jago.",0
Bagus sih gamenya tapi bisa fixs bug login gak download resource nya lama banget,1
suka,0
Terllu gede afdet dalem ny jdi saya kash 3 bntbg aja,1
Gabisa spin UC gratis,0
Sangat suka dengan pertempuran,2
Ok lah lumayan,2
Tolong UNTUK developer pubg mobile paling keren kece kek apa yah gajadi ntar kalo udh mendingan rate 5,1
Tencen aku minta uc gratis,2
Karena ada bug nya,2
"Ni game skrg kenapa gk bisa dukung gfx tool anjai, kasian kami yang pake hp di bawah setandar rata-Rata,",1
"Min izin udahan main pubg dulu. Tunggu aku hp baru dulu yah. Hp ku udah engga kuat lagi main pubg, berat banget gem nya, masih ada bug hp kentang lagi , tapi gemnya bagus kok salam dari binjai",1
Gem ya bagus dan aku selalu menang Di gem ini aku masih bitan 5k ya,2
Setiap naik motor abis itu nabrak rumah kok masuk tanah Mulu emang bug nya atau sistemnya,1
Redmi not 9 pro ngk suport smooth extreme? Mentok di ultra? Tolong lah buka smooth extrimenya di redmi not 9 pronya pihak pubg mobaile? Tolong dibuka lah device redmi not 9 pro smooth extrimenya nnti kasi 🌟⭐⭐⭐⭐ lagi,1
Pemilihan random tim di ranked gx seimbang kayk kontolll semua baru bisa main,0
"Yang terhormat tim PUBG,kalo bisa updatenya jangan teralalu tinggi penyimpanannya. Agar kami bisa main seterusnya dan tolong kepada tim PUBG semoga pemain(chiter) secepatnya di tuntaskan. Terima kasih",0
