content,score,sentiment
bangkai turun knock langsung tolong tencent salah bangkai,5,2
pubg loading login kuota beli,1,0
bug developer perbaiki mengeluh bug lag,4,2
berat putar enak mainnya bagus,3,1
game bagus sayang sinyal turun gameplay sulit main mati frame mati sulit download peta update kouta boros berat game,4,2
update lambat game aneh tolong kesadaran memperbaiki kalah game sebelah,2,0
bagus versi,1,0
download habis buka suruh download giga byte sialan,2,0
puas,3,1
berat tahan device,4,2
game pisau karambit,5,2
perbarui download kecewa,2,0
kasih bintang bug terjun mendarat memegang tali terjun payung tanah menyosor senjata ambil musuh mengambilnya duluan tolong perbaiki bug meresahkan playernya tolong developer pubg tolong perbaiki bugnya sekian terima kasih pubg,3,1
main masuk loadingnya aplikasi,3,1
pengalaman bermain pubg mobile nyaman bermain rank mode dibawah platinum musuh bot banyakkan pengalaman melawan player sulit terbiasa kontrol terbiasa jarak sulit jarak disarankan dipermudah pengaturan sensitivitas direkomendasikan low grafis sulit musuh tim afk rank poinnya hilang,3,1
grafis buruk,5,2
sedot kuota,2,0
bug bug sinyal merugikan coba optimalkan server,2,0
login akun google,3,1
mantap,2,0
malas main banget player cheat tier diamond tier ace cheat banned,2,0
tolong sinyal perbaiki sulit main mati jelek konten sinyal,3,1
main tolong perbaiki bug download peta pilih peta,3,1
lag stabil sinyal lag merugikan player tolong perbaiki kacau,1,0
segi grafis game bagus unggul terkadang frame drop sinyal hilang wifi matching kekurangan game salam winner winner chicken dinner,4,2
game grafis buruk,1,0
halo mohon maaf kasih bintang samsung galaksi giga byte penyimpanan internal giga byte game butuh game terima kasih,3,1
alasan mengasih bintang mencoba game,4,2
banyakkan skin kocak banyakkan plagiat skin free fire aplikasi khusus pubg skin rilis pubg mobile game mati,1,0
game rasis device low end suara main dikasih bug biar biar dagangan sponsor laku bangkai,1,0
mohon maaf tolong turunkan ukuran kapasitas device kelas menengah main lancar suka bermain game sayang device pakai memadai,3,1
bagus,3,1
otomatis mengunduh menguras internet,1,0
minimal main sulit,2,0
akun hack dikirim email isi email sulit bantuan tencent coba influencer bantu isi uc hack akses menghubungi costumer service tencent,2,0
bug,2,0
sulit,3,1
device android chipset snapdragon main pubg frame parah pengalaman buruk pubg versi,2,0
handphone giga byte mantap pubg mobile,5,2
bagus keren bintang terima kasih,5,2
hack login facebook solusinya,5,2
bagus game,5,2
banget download,3,1
download banget,3,1
astaga game rusak main pubg force tutup bagus device,1,0
hai admin pubg terkena bug kode verifikasi login gmail kode verifikasi masuk mohon bantuannya terima kasih,2,0
bagus,5,2
buruk,1,0
mohon tingkat servernya bug bug aneh mohon tingkatkan developer terima kasih,3,1
suka aplikasi,5,2
banyakkan event,1,0
masuk kedalam game sinyal wifi merepotkan berpindah data seluler otomatis biaya internet dobel mohon solusi,4,2
game menyembah patung game menyembah,1,0
sinyalnya stabil push rank sulit,3,1
suka,4,2
sempurna bug mohon perbaiki segi gameplay bagus bagus free fire bug perbaiki tonton teman perang orang jalan mohon baiki semoga dibaca,3,1
bintang seiring,1,0
pubg semenjak update bug black screen fore tutup,2,0
game bagus,1,0
kasih bintang aneh rank costumer service bug lag tolong benarkan game main sulit bug lag,3,1
coba,2,0
mohon perkecil ukuran game admin biar player handphone kentang main lag,5,2
game jelek,5,2
asyik,4,2
pubg cheat report edit fixed uninstall pubg cacat cheat tutorial cheat unbanned youtube main pubg seru bintang minus kukasih minus,1,0
vektor buff amunisi puluhan tembak kena reload,1,0
buatlah pubg cina karakter cantik game mainnya menarik,4,2
mantap,4,2
tolong tencent update bug,3,1
bug,5,2
takut download admin bug,4,2
download game game rusak,1,0
asyik,3,1
game anjing,1,0
game bagus,5,2
search sistem pubg give inexperienced tim instead give bagus musuh,2,0
jelek,1,0
update dimusim mikroponku bug,3,1
keren banget kusuka,4,2
pubg haram,2,0
game rusak download directly base tire game rusak event though nice try use cheat hard grafis elit tires,1,0
malas,2,0
haruskah memperbarui,4,2
mohon maaf bermain cheat tolong banned,4,2
login,1,0
bug tolong perbaiki,3,1
pubg kaya versi kemarin sinyal bagus kadang lag mainkan kaya versi lancar banget semoga versi lancar,3,1
gamenya seru zona livik cepat tolong koreksi,4,2
bug game pubg ayolah perbaiki malas rank turun gara bug meresahkan,1,0
pubg mobile terbaik,4,2
maaf admin rating bugnya meresahkan bug langkah kaki musuh suara tembakkan turun pesawat harap pemeliharaan admin oh perang sinyalnya turun terima kasih admin semoga baca,3,1
game jelek,3,1
pubg suka menghina free fire suka,2,0
uninstall helio main pubg patah,1,0
asyik,1,0
game bagus,5,2
bermain game main,1,0
ok,3,1
tolong main erangel peta rendering tolong perbaiki bugnya,3,1
seru musim musim,3,1
bug sinyal kurangi bintang,3,1
step lawan kedengar muncul peta,2,0
mantap,3,1
aplikasi download,5,2
terbaik main game pubg,4,2
bagus kakak sayang senjatanya,3,1
update kasihan handphone kentang,2,0
bug mode arena tim death match karakter muncul peluru,3,1
bug karakter tersandung bug step mini peta step teman step musuh tolong bug bug diperbaiki kasihan player main,1,0
banyakkan bug bodoh pubg main free fire handphone bug game bodoh,1,0
ok,5,2
hemat,2,0
banyakkan event,1,0
ok,5,2
pubg bingung pubg kenal dimana game indah soon nyaman tertawa lepas orang random toxic main fun intinya suka pubg terima kasih pubg mobile,5,2
game bug anjing,2,0
game bagus banget suka bermain game,5,2
bintang update,1,0
semenjak pegang krafton bug keren krafton merusak game,3,1
bug freeze,3,1
coba suka main ringan,2,0
ace master,3,1
permasalahan kaya performa,3,1
tolong cheatnya hilangkan rugikan,1,0
give pubg mobile ringan,5,2
bug temui game awm hit tembakkan mikropon bug menyala misi royale pass error bug minimalisir tambahkan update gagal ekstraksi restart handphone restart handphone hasilnya download data giga byte main error aplikasinya aduh,3,1
game bagus bagus kali download pubg posisi paket sekarat paket tinggal mega byte game download hentikan paket habis menit beli paket lihat ulang enak,3,1
itukan permainan laki laki perempuan download permainan pegang bintangnya muncul aneh,5,2
sinyal lag role mengecewakan update,2,0
game seru grafis main game tegang subscribe channel bro,5,2
maaf admin fitur meminimalisir resource click bait pasalnya mengunduh low memori pack data game tembus giga byte mengunduh peta resource bug bug coba perbaiki ditunggu next update,3,1
seru gamenya,4,2
dear tencent segi permainan bagus segi hokinya tolong ringankan,3,1
masuk,5,2
game buruk lag hapus game,1,0
pubg jelek,1,0
turun pesat rumah rumah utuh habis terjun payung menunggu detik rumah rumah,4,2
lag sinyalnya bagus,3,1
takut download admin bug,4,2
pubg bug,1,0
pubg mobile servernya perhatikan login lobi sinyal game sinyal enak update sinyal server mohon perhatikan,1,0
sinyal sinyal semenjak update,3,1
game bagus sayangnya bug merugikan main,4,2
update download skin pakaiannya high definition otomatis download penyimpan handphone tolong ubah lag lag boros habiskan kouta sulit beli kouta,2,0
bagus game,3,1
bug main permintaan habis buka aplikasinya enak versi,3,1
game haram,1,0
pubg mobile servernya perhatikan login lobi sinyal game sinyal enak update sinyal server mohon perhatikan,1,0
peta download main erangel putih bangunan masak main livik,2,0
kurangi bug,2,0
cobalah main handphone temanku game pubg seru banget bicarakan gamenya seru pubg go go winner winner chicken dinner,5,2
coba,1,0
bagus,3,1
game bagus,5,2
tencent tolong kembalikan chess rush nyaman game,5,2
bagus,5,2
suka permainan,3,1
nice try know bagus game online,3,1
cocok mainkan,5,2
update bagus buruk bug rumah batu karakter tembus tanah suara reset sinyal memburuk tolong perbaiki versi pemain nyaman memainkannya,4,2
update error pakai wifi,2,0
jawabannya perasaan main pubg lakukan sepi berat masak gara gara game ganti ganti handphone,2,0
perbaiki sinyal admin,3,1
senang,4,2
game rusak player jaringannya stabil pertempuran masuk lawan peta,5,2
fornite pubg,5,2
game bagus tolong bug hapus biar enak main,4,2
game haram,1,0
