content,polarity,label
bangkai turun knock langsung tolong tencent salah bangkai,-0.2,negative
mangapa pubg loading login kuota beli,0.0,neutral
bug developer perbaiki mengeluh bug lag,0.0,neutral
berat putar enak mainnya bagus,0.39999999999999997,positive
game bagus sayang sinyal turun gameplay sulit main mati frame mati sulit download peta update kouta boros berat game,-0.20617283950617285,negative
update lambat game aneh tolong kesadaran memperbaiki kalah game sebelah,-0.1875,negative
bagus versi,0.7,positive
download habis buka suruh download giga byte sialan,0.0,neutral
puas,0.5,positive
berat tahan device,0.0,neutral
game pisau karambit,-0.4,negative
perbarui download kecewa,-0.75,negative
kasih bintang bug terjun mendarat memegang tali terjun payung tanah menyosor senjata ambil musuh mengambilnya duluan tolong perbaiki bug meresahkan playernya tolong developer pubg tolong perbaiki bugnya sekian terima kasih pubg,0.375,positive
main masuk loadingnya aplikasi,0.0,neutral
pengalaman bermain pubg mobile nyaman bermain rank mode dibawah platinum musuh bot banyakkan pengalaman melawan player sulit terbiasa kontrol terbiasa jarak sulit jarak disarankan dipermudah pengaturan sensitivitas direkomendasikan low grafis sulit musuh tim afk rank poinnya hilang,-0.36250000000000004,negative
grafis buruk,-0.6999999999999998,negative
sedot kuota,0.0,neutral
bug bug sinyal merugikan coba optimalkan server,0.0,neutral
login akun google,0.0,neutral
mantap,0.16666666666666666,positive
malas main banget player cheat tier diamond tier ace cheat banned,-0.25,negative
tolong sinyal perbaiki sulit main mati jelek konten sinyal,-0.4666666666666666,negative
main tolong perbaiki bug download peta pilih peta,0.0,neutral
lag stabil sinyal lag merugikan player tolong perbaiki kacau,0.0,neutral
segi grafis game bagus unggul terkadang frame drop sinyal hilang wifi matching kekurangan game salam winner winner chicken dinner,-1.850371707708594e-17,negative
game grafis buruk,-0.5499999999999999,negative
halo mohon maaf kasih bintang samsung galaksi giga byte penyimpanan internal giga byte game butuh game terima kasih,-0.16,negative
alasan mengasih bintang mencoba game,-0.4,negative
banyakkan skin kocak banyakkan plagiat skin free fire aplikasi khusus pubg skin rilis pubg mobile game mati,0.1314285714285714,positive
game rasis device low end suara main dikasih bug biar biar dagangan sponsor laku bangkai,0.0,neutral
mohon maaf tolong turunkan ukuran kapasitas device kelas menengah main lancar suka bermain game sayang device pakai memadai,0.058333333333333334,positive
bagus,0.7,positive
otomatis mengunduh menguras internet,0.0,neutral
minimal main sulit,-0.3,negative
akun hack dikirim email isi email sulit bantuan tencent coba influencer bantu isi uc hack akses menghubungi costumer service tencent,-0.5,negative
bug,0.0,neutral
sulit,-0.5,negative
device android chipset snapdragon main pubg frame parah pengalaman buruk pubg versi,-0.2666666666666666,negative
handphone giga byte mantap pubg mobile,0.0,neutral
bagus keren bintang terima kasih,0.5249999999999999,positive
hack login facebook solusinya,0.0,neutral
bagus game,0.14999999999999997,positive
banget download,0.2,positive
download banget,0.2,positive
astaga game rusak main pubg force tutup bagus device,0.14999999999999997,positive
hai admin pubg terkena bug kode verifikasi login gmail kode verifikasi masuk mohon bantuannya terima kasih,0.0,neutral
bagus,0.7,positive
buruk,-0.6999999999999998,negative
mohon tingkat servernya bug bug aneh mohon tingkatkan developer terima kasih,-0.05,negative
suka aplikasi,0.0,neutral
banyakkan event,0.0,neutral
masuk kedalam game sinyal wifi merepotkan berpindah data seluler otomatis biaya internet dobel mohon solusi,-0.4,negative
game menyembah patung game menyembah,-0.4,negative
sinyalnya stabil push rank sulit,-0.65,negative
suka,0.0,neutral
sempurna bug mohon perbaiki segi gameplay bagus bagus free fire bug perbaiki tonton teman perang orang jalan mohon baiki semoga dibaca,0.7,positive
bintang seiring,0.0,neutral
pubg semenjak update bug black screen fore tutup,-0.16666666666666666,negative
game bagus,0.14999999999999997,positive
kasih bintang aneh rank costumer service bug lag tolong benarkan game main sulit bug lag,-0.25,negative
coba,0.0,neutral
mohon perkecil ukuran game admin biar player handphone kentang main lag,-0.4,negative
game jelek,-0.5499999999999999,negative
asyik,0.3,positive
pubg cheat report edit fixed uninstall pubg cacat cheat tutorial cheat unbanned youtube main pubg seru bintang minus kukasih minus,-0.07500000000000001,negative
vektor buff amunisi puluhan tembak kena reload,0.0,neutral
buatlah pubg cina karakter cantik game mainnya menarik,0.5499999999999999,positive
mantap,0.16666666666666666,positive
tolong tencent update bug,0.0,neutral
bug,0.0,neutral
takut download admin bug,-0.6,negative
download game game rusak,-0.4,negative
asyik,0.3,positive
game anjing,-0.4,negative
game bagus,0.14999999999999997,positive
search sistem pubg give inexperienced tim instead give bagus musuh,0.3,positive
jelek,-0.6999999999999998,negative
update dimusim mikroponku bug,0.0,neutral
