content,sentiment
perbarui pubg kakak,2
main semoga gamenya bagus,1
suka gamenya kadang turun pesawat bug lancar lancar jarang bermain solo publik gamenya grafis atur mempermudah ponsel kentang skin menambah kerusakan game bermain to menang,2
aplikasi cari,2
segi game play bagus grafik bagus kurangnya offline,2
bagus jiwa,2
perbaiki,0
koneksi stabil meneruspadahal jaringannya bagus,0
keren suka game,2
bolehkan pakai gfx admin,1
bug bug tampilan lempar bom heal suka menghilang bug menjarah segede school menjarah peluru terpencil menjarah bagus,2
bagus pembaruannya usahakan pembaharuan peringkat turun,2
bagus,2
login pakai facebook mohon bantu,0
bagus memuat alias ngendet critanya,0
terhormat developmentsangat menyayang peta livikz suka peta livik duluyang free fire suka disamakan,1
maaf mengganggu pubg mengunduh mengunduh notifikasi tekan ok ya,1
pembaruan,1
beli rp acara tiket rp inventori,1
suka game,2
game berat,1
ytkp,1
game habis sembunyi tembak kenak musuh,1
wifi unduhan dihentikan jeda unduh mohon ubah merugikan pemilik data terima kasih,1
coba ya game inisemoga bagus,2
bagus free fire gamenya lancar patah jaringan ponsel ram tolong,0
game mengerikan tukang nyampah ngambil membunuh orang,2
tolong perbaiki pubg bug,1
game terbaik,1
mengunduh,1
duar,2
fldxu,2
dondlowd jaringan jelek jaringan jaringan lobi bagus pasmain lancar kasih bintang game temankan tolong bantu perbaikan jaringan,1
bagus,0
masukan pengembang pembaruan sistem rendering game melemahkan dimana terkadang musuh jarak berlarian mohon perbaikan sistem render game bermain mencoba menyerah mobil musuh mencoba menabrak dimana membuka teropong bidik mobil menghilang dibelakang,1
mohon main pembaruan bug admin,1
kasih bintang bermain mengunakan gyro layar bergerak kanan kiri penyebab cek sensor gyro aman kendala ya admin,2
mantep,2
bagus,1
pembaruan prh ponsel kntng ah hapus jaringan stbil main,0
setuju,1
game ramai bug suara musuh to perbaiki pengembang,2
terima kasih,2
game bagus disebelah miliyar pemain doank gamenya,2
masuk game server menanggapi dn,0
bosan anjing,0
game bagus mesti lete game membunuh mesti kon,2
seru,2
mati asap awokwokwowkowkwowk mati kena azab wkwkwkwkwwkwkwkwk,0
idolah,2
gamenya bagus mengunduh,2
games bagus kebanyak bug lobi rp tertutup,2
pembaruan dimusim micku bug digunain,1
ok,2
aq kasih bintang ya,1
bagus,2
pembaruan lancar skit jiwa,1
pembaruan main sarankan pembaruan ulang llu pembaruan lwat wifi aduhh,0
excuse me tolong belok off auto mengunduh ya disturbing in lobi pakai internet koneksi stabil terima kasih,2
sempak,2
perkembangan perbaikan,2
grafik terputus putus jaringan,1
grafik turunkan biar pemain ponsel main pubg mobile,2
huh pembaruan balance lancar kendala pembaruan balance lancar,1
suka game game bagus keren terima kasih,2
semangat pembaruannya mohon pengembang bug teropong bidik kadang adjust cheat berantas,2
pembaruan hilang selera main game tolonglah jadikan game game minati kalangankarna pembaruan handphon mahalkarna game membutuhkan ram tinggitolong minjangan jadikan game game kalangan jadikan game gelobal,0
pembaharuan,1
bug diperbaikin ditambah,1
tolong tencent turunkan data ram main pubg,2
berat pubg grafik terputus putus drop bug tolong tencent game,0
bagus seru,2
lancar,1
coba,1
keseringan pembaruan pembaruan main peta game mode didalam langsung pembaruan pembaruan ya admin tencent cari beruntung,0
mohon maaf gangguan server jaringan bagus keluhan menurutku game bagus server menanggapi,0
mantep,1
keseringan pembaruan malas main berat ponsel ponsel ram berat lambat mainnya,0
permainan ok ok kadang pendaratan ngerframe bug kepala to kepala ponsel ram mumpuni,2
kesal tim diajak kerja samagw mengalahkan tim revivetolonglah laporan tim begituan,1
game bagus buka sulit,1
game bug berkedip macet masuk akal tolong perbaiki,0
jelek,0
kakak game haram ponsel lancar,0
bagus,2
parah pembaruan nyaman main suara in game menjarah menunda bagusan pembaruan ky,1
halo pemain pubg pendapat pemberi bintang bilang game bagus segi grafik bagus tekstur bagus mengganggu bug adjust minum obat peralatan medis membom teman random kesal bug semoga pubg pendapat memperbaiki bug pubg,1
pensiun,1
game sampah pembaruan,1
bug penonton tolong,1
acara game menarik sayang main suka grafik terputus putus,2
senang bermain pubg mandang apapun mainkan main hepfan bersenang senang ya tolong berkometar ya,2
cocok,2
kirim kritik keras tencent krafton sayangkan ulasan tindakan penanganan kekecewaan pubg jutaan habis pubg mengatasi bug bug pemakai iphone profesional maksimal pikir spekualifikasi iphone profesional maksimal it pertandingan,1
tolong perbaiki bug berkali ayam makan malam suruh mengunduh data mengecewakan,0
game bagus grafik hduntuk game pubg maksimal hd,2
dimainkan tersambung wifi dimainkan tersambung data seluler,1
main,1
game bagus grafis pass atur sesuai ponsel admin perbaiki bug terima kasih admin,2
game bagus menghibur bagus cheat bug bermain team deathmatch,1
hai game maker enter game game wrote pesan he told me to contact,2
akusuka,2
seru wajib mengunduh,1
game rusak,0
terhormat pubg ak main pakai akun tamu smua pencapaian hilang sumpah main tenang bersyukur ak ktmu pemain selevel sumpah takut ktmu profesional pemain good game pakai akun ak pemain veteran pemula senang main pubg ya,1
jalan tunggu jalan tolong perbaiki,1
bagus,2
bagus gamenya,2
tolonglah kasih bot,1
admin mohon maaf login pakai facebook facebook hilang id pubg pakai bantu kembalikan akun curi,0
kasih bintang alasan aman,1
zona anjing ya,1
suka main perangkat main meningkatkan lancar lancar suka bug,2
suka game pengalaman jugaa sayang mengganggu mengganggu kenyaman mainnya pertempuran,1
oke tunggu pembaruannya mode vs hadir mode vs pemain mementingkan tier bermain havefun terima kasih,2
mengunduh,0
bagus cheat berkeliaran terjagi bug tombol ikon peralatan medis tombol granat suka hilang,2
mainnya bagus loadingnya pertempuran,2
us uc,2
oh ya berharap mempertahankan mode vs meningkatkan mode,2
pubg mikrofon bocor ruang bodoh,1
suka hiburan,2
tolong game pubg mobile gacha skin kasih kasih skin mohon tim pubg mobile terima kasih,2
game berat,0
bagus hd pusing mainnya,1
masuk,1
game rusak pubg pantex game nyaman main eh kesalahan server main bug perang perang bot samperin pemain perang acara suka ngambang ngambang membunuh,0
game jelek game haram halo,1
heran sinyalnya main mobile legends lancar pubg sinyal kecewa,0
game kontol,0
hm,1
game lancar anjn,1
hai tencent main,2
bagus mengunduh,2
bintangnya kurangin mengeluhkan grafik terputus putus drop main game play terganggu jaringan stabil ponsel pakai flagship main game berat mohon perbaiki bermain nyaman,0
bagus bg sayang senjata,1
lancar,0
bintang koneksi jaringan stabil sinyal cepat cepat,0
akun dev kasih foto sinyal lobi hijau pakai wifi ulang game keluarkan server tanggapan alihkan pembicaraan buktikan server lobi lo error kecewa minimal server menanggapi sinyal jelek logo hijau bintang ubah merah hijau server menanggapi anjing,0
bosan menarik pubg ya dimainnin pilih,1
hai pengembang pembaruan game optimal perangkat rendah grafik terputus putus drop lancar game online berat grafik terputus putus drop lancar tolong perbaiki,1
semenjak pembaruan bergairah jaringan stabil mengunduh peta tonglah bergairah perbaiki biar semangat main,0
bug dev bug peta pesawat diluar peta turun hasil nyetak diluar peta bug acara raksasa jalan bug terlempar ujung laut saran kasih fitur menerjemahkan bahasa bercanda server luardah terima kasih,2
masuk,2
mengunduh,0
