aaau;
aadfdd;
aaj;
aal;
aapa;apa
abang;
abdate;pembaruan
abded;pembaruan
abdet;pembaruan
abg;
abgreb;meningkatkan
abis;habis
abisin;habiskan
abiss;habis
able;sanggup
abng;
abss;habis
abyan;
acc;
accaount;akun
acces;mengakses
account;akun
achievement;pencapaian
acik;seru
acount;akun
action;tindakan
active;aktif
actual;sebenarnya
actually;sebenarnya
acumalaka;
ad;
adag;
adain;adakan
adakan;adakkan
adalan;adalah
adapin;
adasedikinterkurangan;ada sedikit terkurang
add;menambahkan
addicted;kecanduan
adding;menambahkan
adeh;
adequate;memadai
adet;pembaruan
adick;
adilnyaa;adilnya
adit;
adjust;menyesuaikan
adjustment;pengaturan
admin;
admine;
adminnya;
adminya;
ads;
adsnya;
adu;bersaing
aduh;
aduhh;
advanced;canggih
advice;nasihat
advin;
advised;disarankan
ae;
aeng;
aeru;
afk;away from keyboard
afkenak;afk enak
africa;afrika
aftermath;akibat
aga;agak
agaar;agar
agaka;agak
age;usia
ager;
agi;lagi
agk;agak
ago;yang lalu
agred;meningkatkan
agrep;meningkatkan
ah;
ahahahhaha;
ahh;
ahhahahahja;
ahir;akhir
ahkirnya;akhirnya
ahklak;moral
ahmad;
ai;
aibot;
aid;
aim;tembak
aimnya;tembaknya
aing;aku
airsudah;air sudah
ais;
aitem;
aj;saja
aj;
aja;saja
ajaa;saja
ajab;
ajah;saja
ajaj;
ajalah;sajalah
ajarin;ajarkan
ajasetelah;saja setelah
ajasih;saja
ajay;
ajayy;
aje;
ajege;
ajg;
ajglah;
ajh;saja
ajha;saja
ajin;
ajing;
ajirnaa;
ajja;saja
ajmnjay;
ajo;
aju;
ajustmen;pengaturan
ak;
aka;
akalsaya;akal saya
akanterusmaju;akan terus maju
akhirakhir;akhir
akhiry;akhirnya
akhlak;moral
aki;
akir;akhir
akkun;akun
akm;senjata
akmad;
aktor;aktor
akuh;akun
akunakun;akun
akung;
akunplayer;akun pemain
akunya;akunnya
akusih;aku
akusuka;aku suka
akusukagameini;aku suka game ini
akuthanks;terima kasih
al;
ala;
alah;
alamin;alami
alay;
alesan;alasan
alhamdulillah;
alhasil;hasil
ali;
alihin;alihkan
alirido;
allaahumma;
allah;
almarhum;
alok;
already;sudah
also;juga
alucard;
alus;halus
always;selalu
alx;
ama;sama
amabil;ambil
amagay;
amanaman;aman
amannyaarea;amannya area
amarpaung;
amazing;luar biasa
amdenya;
ame;game
amet;
ametiketu;
amin;
ammo;peluru
amo;
ampe;sampai
ampek;sampai
ampir;hampir
ampun;maaf
amr;
amun;kalau
an;
ana;
analok;analog
anank;
anarr;
ancok;
ancrit;
ancur;hancur
ancurnya;hancurnya
andatapi;anda tapi
andelin;mengandalkan
andika;
andmin;
andro;android
ane;
anemy;musuh
anganpaan;dengan apa
angat;sangat
angel;sulit
anggab;anggap
anggunly;anggun
angregel;erangel
animalia;
anime;
aniversary;ulang tahun
anj;
anja;
anjai;
anjay;
anjayhh;
