content,sentiment
bangke gw turun nyangkut kenok langsung tolong dong tensen salah gw apa bangke,positive
manga pa pubg selalu loding ketika login padahal kuota baru beli,negative
bag nya dong developer perbaiki semua ngeluh karna bag dan lag,positive
emang berat putaran kenapa gak seperti biasanya kayak dulu ma enak mainnya bagus,neutral
game ini sudah bagus tapi sayang ping nya selalu tinggi di atas klo turun cuma an itu sangat membuat gemplay susah jadi klo main tiba mati ntah dari mana tiba ngefrem trus mati jadi susah dan juga kenapa selalu download map ketika sesudah update itu membuat qouta boros dan juga sekarang makin berat game nya,positive
makin di update makin lemot nih game aneh tolong kesadran dirinya untuk memperbaiki masa kalah sama game sebelah,negative
agak gimana ya,neutral
udh gak bagus versi,negative
udah dnwload hbis ga bisa di buka suruh donwload lagi zzc gb kmpret,negative
puas,neutral
makin lama makin berat ga tahan device,positive
digame ini yg kurang skrng cuma hanya pisau karambit,positive
purbaruinya sama kayak dowloadkok gitu sih kecewa saya,negative
aku kasih bitang soalnya masih ada bugjika terjun dan mendarat pasti selalu masih memegang tali terjun payung dan sudah sampai di tanah masih menyosor terus dan masih ada masalah lgi senjata yg udah deket malah ke ambil musuh padahal saya saya sudah mengambilnya duluan jadi tolong di perbaiki bug iniyg meresahkan bagi para playernya jadi tolong pihakdevelover pubg tolong di perbaiki bugnya sekian dari saya terimakasih untuk pubg,neutral
kenapa setiap main masuk loadingnya lama sekaliada apa dengan aplikasi ini,neutral
pengalaman saya saat bermain pubg mobile ini kurang nyaman karena saat bermain rank mode dibawah platinum musuh nya bot kebanyakan jadi tidak ada pengalaman melawan playerdan juga susah untuk terbiasa dengan kontrol nyasaat sudah terbiasa dengan jarak jauhsusah dengan jarak dekat dan sebaliknya disarankan dipermudah atau di buat settingan sensivitas yang direkomendasikandan untuk masalah low grafis susah melihat musuh karena kurang jelasdan saat tim ada yang afk di rank poinya tidak hilang,neutral
burik,positive
ini nyedot kuota nya besar ga yah,negative
makin kesini makin banyak bug terutama bug sinyal sangat merugikan coba di optimalkan masalah server dong,negative
apakah bisa di login di akun google,neutral
mantapp jer pambakal,negative
semakin lama makin males main sekarang banyak banget player yang guna cheatdari tier diamond ke tier ace banyak yang guna cheatkenapa ndak di banned,negative
tolong jaringan di perbaikki saya susah main mati terus jelek konten saya klo jaringn gini terus,neutral
main pls perbaiki bug inisaya sdh download semua peta tapi kok saya gk bisa milih peta itu,neutral
sering lag dan ngak stabil ping masih lag merugikan playertolong di perbaiki makin lama makin kacau,negative
dari segi grafik game ini memang bagus dan unggul tapi terkadang frame rate tibatiba dropsinyal yang tibatiba hilang padahal saya dekat wifidan waktu matching yang cukup lama menurut saya hanya itu beberapa kekurangan game inisalam winerwinerchickendiner,positive
ariska,neutral
tdkadh,negative
game burik,negative
halo mohon maaf ya saya kasih bintang tiga sebelumnya saya mau tanya apakah samsung galaxy ram giga penyimpanan internal giga bisa dibuat untuk game ini soalnya saya butuh game ini terima kasih,neutral
alasan saya mengasih bintang karena belum nyoba game,positive
kebanyakan skin kocak malah kebanyakan plagiat skin ff mending buat apk lagi khusus pubg no skin kayak awal rilis pubgm bakalan jadi game dead ini gak lama,negative
game rasis device low end sound pas main dikasih bug biar apa biar dagangan sponsor laku bangke tot,negative
mohon maaf tolong turunkan ukaran kapasitas nya agar device yg kelas menengah pun bisa maen dengan lancar banyak yg suka bermain game ini tapi sayang device yg di pake tidak memadai,neutral
bagus,neutral
otomatis mengunduh sangat menguras internet saya,negative
minimal di kalo main gak susah amat,negative
