content,sentiment
Bangke gw turun nyangkut kenok langsung tolong dong tensen salah gw apa bangke,positive
Manga pa pubg selalu loding ketika login padahal kuota baru beli,negative
Bag nya dong developer perbaiki semua ngeluh karna bag dan lag,positive
Emang berat putaran kenapa gak seperti biasanya kayak dulu ma enak mainnya bagus,neutral
P :v,negative
"Game ini sudah bagus tapi sayang ping nya selalu tinggi di atas 300 klo turun cuma 200 an, itu sangat membuat gemplay susah, jadi klo main tiba"" mati ntah dari mana tiba"" ngefrem trus mati jadi susah, dan juga kenapa selalu download map ketika sesudah update itu membuat qouta boros, dan juga sekarang makin berat game nya.",positive
👌,neutral
"makin di update makin lemot nih game, aneh. tolong kesadran dirinya untuk memperbaiki. (masa kalah sama game sebelah😏)",negative
Agak gimana ya,neutral
Udh gak bagus versi,negative
"Udah dnwload hbis 2g ga bisa di buka suruh donwload lagi ,zzc4 gb kmpret,",negative
Puas,neutral
Makin lama makin berat. Ga tahan device,positive
Digame ini yg kurang skrng cuma hanya pisau karambit 🤟,positive
"Purbaruinya sama kayak dowload,,kok gitu sih,, kecewa saya",negative
Aku kasih bitang 3 soalnya masih ada bug...jika terjun dan mendarat pasti selalu masih memegang tali terjun payung dan sudah sampai di tanah masih menyosor terus dan masih ada masalah lgi senjata yg udah deket malah ke ambil musuh padahal saya saya sudah mengambilnya duluan jadi tolong di perbaiki bug ini...yg meresahkan bagi para playernya jadi tolong pihak/develover pubg tolong di perbaiki bugnya sekian dari saya terimakasih untuk pubg😁🙏🙏,neutral
Kenapa setiap main masuk loadingnya lama sekali...ada apa dengan aplikasi ini,neutral
"Pengalaman saya saat bermain pubg mobile ini kurang nyaman karena saat bermain rank mode dibawah platinum musuh nya bot kebanyakan jadi tidak ada pengalaman melawan player,dan juga susah untuk terbiasa dengan kontrol nya,saat sudah terbiasa dengan jarak jauh,susah dengan jarak dekat dan sebaliknya disarankan dipermudah atau di buat settingan sensivitas yang direkomendasikan,dan untuk masalah low grafis susah melihat musuh karena kurang jelas,dan saat tim ada yang afk di rank poinya tidak hilang.",neutral
Burik?,positive
Ini nyedot kuota nya besar ga yah😅,negative
"Makin kesini makin banyak bug, terutama bug sinyal sangat merugikan, coba di optimalkan masalah server dong,",negative
Apakah bisa di login di akun google,neutral
Mantapp jer pambakal,negative
"Semakin lama makin males main, Sekarang banyak banget player yang guna cheat,dari tier diamond ke tier ace banyak yang guna cheat.Kenapa ndak di banned?",negative
Tolong jaringan di perbaikki saya susah main mati terus jelek konten saya klo jaringn gini terus,neutral
"Main pls perbaiki bug ini,saya sdh download semua peta tapi kok saya gk bisa milih peta itu",neutral
Sering lag dan ngak stabil... Ping 24masih lag.. Merugikan player..tolong di perbaiki makin lama makin kacau,negative
"Dari segi grafik game ini memang bagus dan unggul tapi terkadang frame rate tiba-tiba drop,sinyal yang tiba-tiba hilang padahal saya dekat wifi,dan waktu matching yang cukup lama menurut saya hanya itu beberapa kekurangan game ini.salam WINER..WINER..CHICKEN..DINER..!!!",positive
Ariska 😞,neutral
Tdkadh,negative
Game burikkk,negative
Halo. Mohon maaf ya saya kasih bintang tiga. Sebelumnya saya mau tanya. Apakah Samsung Galaxy a 12 RAM 4 giga penyimpanan internal 128 giga bisa dibuat untuk game ini? Soalnya saya butuh game ini. Terima kasih,neutral
Alasan saya mengasih bintang 4 karena belum nyoba game,positive
"Kebanyakan skin kocak, malah kebanyakan plagiat skin FF, mending buat apk lagi khusus pubg no skin kayak awal2 rilis pubgm.. bakalan jadi game dead ini gak lama👎👎👎👎👎👎👎👎👎👎",negative
